,Name,Team,Creativity per fixture,Creativity per game,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
130,Frédéric Guilbert,Aston Villa,9.157142857142857,10.683333333333332,14.5,7.4,1.5,0.5,15.7,16.8,11.9,16.1,15.8,11.3,15.6,1.1,0.0,0.0
131,Moritz Leitner,Norwich,9.121428571428572,14.18888888888889,0.0,0.0,0.0,0.0,2.2,25.8,8.3,8.3,34.3,0.0,15.9,13.9,17.8,1.2
132,Sead Kolasinac,Arsenal,9.05,11.518181818181818,15.2,0.0,1.8,0.3,0.7,32.6,2.0,2.3,13.8,23.6,34.1,0.0,0.3,0.0
133,Will Hughes,Watford,9.0,10.5,3.1,3.9,34.8,10.7,2.5,0.0,0.0,0.0,0.4,12.9,13.7,33.9,6.8,3.3
134,Ross Barkley,Chelsea,8.992857142857144,20.983333333333334,0.0,0.0,0.0,0.0,0.0,2.2,0.0,25.4,0.0,21.1,2.8,60.0,0.0,14.4
135,Harry Maguire,Man Utd,8.985714285714286,8.985714285714286,13.3,11.8,0.8,11.8,21.4,0.1,23.2,1.4,0.3,0.4,12.6,6.4,11.5,10.8
136,Tanguy Ndombele,Spurs,8.9,11.327272727272726,13.7,0.0,23.8,1.1,24.0,1.2,0.9,11.5,14.3,2.3,0.0,0.0,11.5,20.3
137,Dale Stephens,Brighton,8.89285714285714,8.89285714285714,14.2,4.1,2.1,15.0,4.8,25.2,4.0,2.7,25.6,7.8,1.8,3.3,2.6,11.3
138,Jetro Willems,Newcastle,8.714285714285714,11.090909090909092,1.3,1.5,1.1,41.1,15.8,1.9,30.6,0.0,1.9,12.3,3.3,0.0,0.0,11.2
139,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,8.678571428571429,10.125,1.3,0.0,15.6,2.3,12.0,17.0,0.3,14.3,24.0,0.0,1.2,11.5,7.6,14.4
140,Harry Wilson,Bournemouth,8.628571428571428,9.292307692307691,0.6,1.0,1.4,3.3,24.2,6.4,14.8,20.5,0.8,2.3,13.5,27.7,4.3,0.0
141,Rúben Diogo da Silva Neves,Wolves,8.492857142857144,8.492857142857144,6.8,12.5,32.5,13.1,5.0,0.7,0.7,0.4,0.9,2.3,5.5,26.3,1.4,10.8
142,Pablo Fornals,West Ham,8.392857142857142,9.038461538461538,13.4,3.1,6.6,0.0,14.3,5.2,0.8,41.3,14.9,11.8,0.8,1.1,2.8,1.4
143,N'Golo Kanté,Chelsea,8.257142857142856,16.514285714285712,23.8,30.2,36.5,0.0,0.0,0.0,2.3,0.0,3.5,0.0,0.0,0.0,18.4,0.9
144,Bamidele Alli,Spurs,8.200000000000001,16.400000000000002,15.9,24.3,26.3,17.4,2.3,27.7,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
145,Johann Berg Gudmundsson,Burnley,8.12142857142857,28.424999999999997,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,11.2,63.1,33.1
146,Mark Noble,West Ham,8.1,9.45,1.4,22.9,0.1,1.6,4.1,15.2,14.8,2.8,14.8,4.5,18.7,12.5,0.0,0.0
147,Andre Gray,Watford,8.078571428571427,8.7,0.3,2.1,13.3,1.1,12.4,0.0,12.8,10.9,10.3,0.8,1.8,33.5,11.3,2.5
