,Name,Team,Threat per fixture,Threat per game,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
38,Todd Cantwell,Norwich,24.0,24.0,39.0,6.0,0.0,11.0,6.0,49.0,52.0,28.0,33.0,8.0,37.0,41.0,2.0
39,Kevin De Bruyne,Man City,23.923076923076923,25.916666666666668,20.0,38.0,54.0,12.0,19.0,0.0,18.0,40.0,2.0,27.0,16.0,38.0,27.0
40,Willian Borges Da Silva,Chelsea,22.384615384615383,24.25,33.0,33.0,23.0,59.0,35.0,11.0,73.0,10.0,4.0,2.0,4.0,4.0,0.0
41,Riyad Mahrez,Man City,21.923076923076923,31.666666666666668,61.0,0.0,0.0,0.0,0.0,22.0,61.0,50.0,0.0,44.0,2.0,6.0,39.0
42,Aaron Connolly,Brighton,21.9,24.333333333333332,0.0,4.0,46.0,2.0,21.0,107.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0
43,Felipe Anderson Pereira Gomes,West Ham,21.46153846153846,23.25,2.0,2.0,32.0,22.0,0.0,23.0,60.0,21.0,18.0,36.0,63.0,0.0,0.0
44,Daniel James,Man Utd,21.307692307692307,21.307692307692307,11.0,37.0,3.0,4.0,0.0,19.0,18.0,8.0,6.0,68.0,66.0,20.0,17.0
45,Harvey Barnes,Leicester,21.307692307692307,23.083333333333332,27.0,33.0,7.0,45.0,42.0,4.0,9.0,49.0,4.0,25.0,21.0,0.0,11.0
46,Gylfi Sigurdsson,Everton,21.0,21.0,44.0,39.0,2.0,7.0,14.0,13.0,31.0,17.0,21.0,34.0,4.0,10.0,37.0
47,Nathan Redmond,Southampton,20.615384615384617,24.363636363636363,30.0,2.0,2.0,29.0,28.0,9.0,51.0,36.0,0.0,0.0,41.0,11.0,29.0
48,Nicolas Pépé,Arsenal,20.53846153846154,22.25,6.0,0.0,0.0,13.0,19.0,8.0,23.0,70.0,5.0,75.0,39.0,9.0,0.0
49,Miguel Almirón,Newcastle,20.23076923076923,20.23076923076923,3.0,30.0,51.0,17.0,8.0,29.0,0.0,36.0,2.0,24.0,36.0,6.0,21.0
50,Harry Wilson,Bournemouth,20.0,21.666666666666668,10.0,35.0,65.0,21.0,12.0,2.0,0.0,17.0,15.0,18.0,25.0,40.0,0.0
51,Theo Walcott,Everton,19.923076923076923,25.9,26.0,26.0,6.0,54.0,102.0,0.0,0.0,30.0,9.0,0.0,6.0,0.0,0.0
52,Matt Doherty,Wolves,19.923076923076923,21.583333333333332,21.0,48.0,39.0,35.0,4.0,0.0,33.0,33.0,36.0,0.0,10.0,0.0,0.0
53,Jack Grealish,Aston Villa,19.846153846153847,23.454545454545453,52.0,0.0,0.0,0.0,86.0,43.0,19.0,6.0,10.0,20.0,11.0,11.0,0.0
54,Alex Iwobi,Everton,19.46153846153846,23.0,3.0,27.0,2.0,27.0,28.0,58.0,6.0,2.0,58.0,21.0,21.0,0.0,0.0
55,Abdoulaye Doucouré,Watford,19.384615384615383,19.384615384615383,21.0,32.0,24.0,9.0,20.0,13.0,9.0,0.0,33.0,22.0,61.0,6.0,2.0
56,Youri Tielemans,Leicester,19.23076923076923,19.23076923076923,2.0,25.0,6.0,43.0,25.0,0.0,33.0,10.0,1.0,44.0,1.0,23.0,37.0
57,Joshua King,Bournemouth,19.153846153846153,20.75,0.0,17.0,56.0,19.0,2.0,8.0,37.0,20.0,23.0,2.0,15.0,28.0,22.0
58,John Lundstram,Sheffield Utd,19.0,19.0,42.0,13.0,77.0,22.0,2.0,6.0,38.0,0.0,0.0,4.0,18.0,22.0,3.0
59,David McGoldrick,Sheffield Utd,18.846153846153847,24.5,31.0,9.0,23.0,64.0,4.0,0.0,0.0,0.0,53.0,0.0,0.0,53.0,8.0
60,Joelinton Cássio Apolinário de Lira,Newcastle,18.846153846153847,18.846153846153847,13.0,41.0,5.0,17.0,6.0,6.0,2.0,35.0,6.0,38.0,40.0,12.0,24.0
61,Lucas Rodrigues Moura da Silva,Spurs,18.615384615384617,22.0,41.0,15.0,11.0,0.0,24.0,26.0,0.0,2.0,0.0,0.0,25.0,66.0,32.0
62,James Ward-Prowse,Southampton,18.615384615384617,18.615384615384617,90.0,7.0,33.0,15.0,26.0,1.0,11.0,34.0,0.0,2.0,4.0,2.0,17.0
63,Andre Gray,Watford,17.692307692307693,19.166666666666668,2.0,38.0,20.0,2.0,0.0,11.0,50.0,39.0,6.0,4.0,41.0,0.0,17.0
64,Yerry Mina,Everton,17.307692307692307,18.75,4.0,34.0,4.0,0.0,34.0,4.0,71.0,4.0,2.0,44.0,24.0,0.0,0.0
65,Andriy Yarmolenko,West Ham,17.23076923076923,18.666666666666668,0.0,32.0,0.0,36.0,11.0,2.0,27.0,47.0,21.0,35.0,13.0,0.0,0.0
66,Scott McTominay,Man Utd,17.153846153846153,18.583333333333332,0.0,37.0,25.0,25.0,7.0,22.0,24.0,25.0,0.0,1.0,43.0,12.0,2.0
67,Lys Mousset,Sheffield Utd,17.153846153846153,22.3,11.0,62.0,35.0,17.0,41.0,12.0,2.0,19.0,24.0,0.0,0.0,0.0,0.0
68,Ryan Fraser,Bournemouth,17.076923076923077,18.5,20.0,40.0,40.0,29.0,8.0,18.0,0.0,0.0,7.0,20.0,0.0,35.0,5.0
69,Nicolás Otamendi,Man City,16.46153846153846,26.75,0.0,0.0,0.0,0.0,0.0,8.0,2.0,51.0,56.0,2.0,40.0,55.0,0.0
70,Marco Stiepermann,Norwich,16.0,18.90909090909091,0.0,4.0,1.0,4.0,0.0,89.0,23.0,4.0,6.0,35.0,0.0,23.0,19.0
71,Andreas Pereira,Man Utd,15.846153846153847,17.166666666666668,0.0,35.0,21.0,6.0,17.0,17.0,48.0,16.0,19.0,23.0,0.0,0.0,4.0
72,Dominic Calvert-Lewin,Everton,15.76923076923077,18.636363636363637,4.0,20.0,7.0,19.0,0.0,0.0,57.0,0.0,64.0,8.0,18.0,2.0,6.0
