,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
59,Felipe Anderson Pereira Gomes,19,West Ham,29,22,13.83448275862069,18.236363636363635,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,29.4,2.9,38.9,3.4,,0.0,15.1,38.7,6.6,1.1,9.6,53.8,8.3,4.3,16.4,27.8,27.0,33.9,37.3,40.3,0.0,1.6
60,Matt Targett,2,Aston Villa,28,20,13.817857142857145,19.345000000000002,10.8,,3.3,26.8,21.9,,27.7,17.2,0.0,0.0,4.6,16.4,27.9,15.4,43.8,6.3,21.7,13.3,1.0,14.6,19.0,44.7,33.3,17.2,0.0,0.0,0.0,0.0,0.0,0.0
61,Pierre-Emerick Aubameyang,1,Arsenal,28,26,13.685714285714285,14.738461538461538,35.9,,4.0,8.2,31.0,,0.0,0.0,2.2,18.9,12.8,7.7,3.8,0.3,26.1,21.3,22.3,11.1,30.3,10.6,12.4,4.7,12.8,25.7,1.6,2.2,26.6,25.3,18.9,6.5
62,Mateo Kovacic,6,Chelsea,29,25,13.510344827586207,15.672,0.0,21.8,18.8,25.2,1.6,,16.3,0.0,0.0,11.3,4.8,0.0,15.3,5.8,32.4,45.8,18.5,22.8,16.6,24.4,16.3,3.0,0.6,21.2,4.3,4.3,4.8,26.5,0.4,29.0
63,Jorge Luiz Frello Filho,6,Chelsea,29,26,13.45862068965517,15.01153846153846,0.0,21.9,27.2,13.8,1.3,,29.9,23.4,2.3,1.8,3.7,22.4,14.5,14.0,0.0,0.0,2.6,3.2,0.0,36.3,3.9,20.2,3.6,42.4,17.8,38.8,22.4,13.6,5.0,4.3
64,John McGinn,2,Aston Villa,28,18,13.403571428571428,20.85,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.1,38.7,21.5,32.9,32.0,14.8,17.2,17.9,2.1,37.8,18.2,23.8,12.0,14.1,30.6,16.8,30.4,13.4
65,Patrick van Aanholt,7,Crystal Palace,29,22,13.344827586206899,17.590909090909093,16.1,29.6,83.0,6.1,11.2,,0.0,0.0,0.0,0.0,0.0,17.4,66.3,0.0,0.0,0.8,1.8,15.9,12.2,1.8,26.8,17.1,24.3,18.7,3.2,1.3,17.4,1.1,14.4,0.5
66,Nathan Redmond,16,Southampton,29,23,13.100000000000001,16.51739130434783,0.0,0.0,0.0,0.0,15.7,,40.0,30.3,33.5,27.0,12.7,1.0,28.6,1.8,3.4,13.7,3.4,23.3,3.4,23.5,2.6,5.0,2.3,18.8,40.4,0.0,0.0,23.5,22.9,3.1
67,Davy Pröpper,4,Brighton,29,26,13.086206896551724,14.596153846153847,3.8,43.6,10.8,17.3,31.8,,25.0,4.4,11.3,3.2,12.7,0.0,13.0,15.7,5.3,3.2,4.8,4.3,2.6,29.0,16.9,29.6,0.0,0.0,44.8,12.9,1.4,2.7,13.1,16.3
68,Marcus Rashford,12,Man Utd,29,22,13.082758620689656,17.245454545454546,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.4,3.8,9.3,8.4,39.0,16.3,11.9,3.9,17.1,20.1,28.0,24.9,29.3,12.0,24.2,23.1,12.5,16.0,21.8,18.3,25.2,4.9
69,N'Golo Kanté,6,Chelsea,29,18,12.734482758620688,20.516666666666666,0.0,0.0,0.0,0.1,12.3,,13.7,16.3,0.0,48.3,3.8,23.1,18.1,16.8,43.9,57.3,23.8,30.2,36.5,0.0,0.0,0.0,2.3,0.0,3.5,0.0,0.0,0.0,18.4,0.9
70,Diogo Jota,20,Wolves,29,25,12.396551724137932,14.380000000000003,14.8,15.5,23.3,1.4,33.0,,0.3,0.0,0.0,11.8,0.9,14.5,5.7,25.7,5.8,18.5,10.0,41.6,8.0,48.3,5.5,11.2,0.0,0.0,18.0,4.8,0.8,14.5,13.3,12.3
71,Lucas Rodrigues Moura da Silva,17,Spurs,29,27,12.386206896551728,13.303703703703707,21.3,3.8,4.8,40.8,11.0,,26.8,23.4,31.9,2.7,14.3,7.8,1.1,47.3,15.5,15.2,0.1,14.3,0.6,3.1,0.3,14.6,11.4,0.0,1.7,0.1,0.0,5.8,0.1,39.4
72,John Lundstram,15,Sheffield Utd,28,27,12.328571428571431,12.785185185185187,28.6,,1.2,0.6,12.5,,0.1,1.5,11.7,5.1,0.0,5.6,4.3,31.1,23.3,16.2,7.8,7.3,15.8,15.9,12.8,13.4,27.5,16.3,15.4,14.0,2.4,9.1,18.5,27.2
73,Ayoze Pérez,9,Leicester,29,25,12.113793103448277,14.052,0.0,12.8,0.5,17.1,22.8,,18.7,19.3,5.0,55.4,27.4,0.4,11.7,0.0,0.0,14.2,4.2,21.6,7.3,5.8,15.6,5.9,10.3,21.7,12.4,2.8,0.0,24.7,10.1,3.6
74,Joelinton Cássio Apolinário de Lira,13,Newcastle,29,29,12.089655172413794,12.089655172413794,1.7,2.5,14.7,15.8,2.8,,2.9,5.0,5.6,1.7,25.0,38.8,4.3,28.4,2.9,0.6,11.8,25.7,12.8,14.2,13.2,5.2,12.3,1.3,23.8,24.4,14.1,24.3,12.3,2.5
75,Christian Eriksen,17,Spurs,29,20,12.031034482758622,17.445,0.0,0.0,0.0,0.0,0.0,,12.5,2.0,49.7,19.8,32.2,1.9,1.8,14.0,0.0,11.6,0.0,0.1,0.0,9.1,6.4,0.0,5.3,37.6,5.4,29.7,28.7,26.6,13.7,40.8
76,James McArthur,7,Crystal Palace,29,28,12.027586206896556,12.45714285714286,25.3,15.4,15.5,14.0,27.8,,1.3,11.5,3.1,3.3,1.4,9.6,14.3,2.3,2.3,33.3,7.2,20.9,0.8,3.5,25.8,22.5,2.1,24.9,23.1,0.0,22.1,0.8,3.1,11.6
77,Callum Wilson,3,Bournemouth,29,28,11.83793103448276,12.260714285714288,4.7,2.4,1.6,27.7,11.5,,24.3,3.4,8.6,25.0,0.0,11.2,5.3,0.0,0.6,11.3,13.4,13.4,2.5,22.3,4.4,14.6,22.7,12.3,0.8,1.0,23.4,20.5,52.1,2.3
78,Kenny McLean,14,Norwich,29,28,11.77586206896552,12.196428571428573,6.7,4.6,14.1,5.1,15.5,,1.3,15.1,4.1,18.9,1.7,26.8,3.4,5.7,22.2,7.0,18.2,73.9,26.4,3.3,3.6,12.9,13.9,2.0,3.0,1.1,28.8,1.6,0.0,0.6
79,Aaron Wan-Bissaka,12,Man Utd,29,26,11.658620689655173,13.003846153846155,10.9,15.9,1.3,15.0,32.8,,53.2,22.6,8.3,6.3,0.0,22.9,1.6,3.8,10.9,2.6,16.7,5.2,12.2,2.8,4.2,12.7,0.0,0.0,2.4,12.4,13.2,21.1,11.0,16.1
80,Sébastien Haller,19,West Ham,29,27,11.56896551724138,12.425925925925927,21.7,24.8,2.8,0.0,22.3,13.9,22.3,14.3,6.3,4.3,12.7,3.0,,11.8,0.3,1.5,0.6,3.3,3.7,16.7,27.8,14.6,3.9,44.1,4.7,37.4,6.6,2.3,0.0,7.8
81,Martín Montoya,4,Brighton,29,23,11.551724137931034,14.565217391304348,7.5,61.4,0.0,0.0,30.6,,0.0,0.3,11.7,12.6,3.3,0.0,26.7,19.1,0.0,0.2,16.7,2.7,0.5,29.1,2.5,18.8,4.1,25.3,4.1,0.0,17.4,1.8,26.0,12.6
