,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
259,Eric Dier,17,Spurs,29,14,3.013793103448276,6.242857142857143,1.9,0.3,0.0,14.3,0.3,,0.3,0.0,0.0,0.0,0.0,0.0,1.1,15.6,12.3,0.0,13.5,13.3,3.3,0.0,0.0,0.0,11.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
260,Robbie Brady,5,Burnley,29,14,3.006896551724138,6.228571428571429,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.3,0.2,0.0,0.0,11.2,0.0,17.8,0.0,0.1,1.0,34.7,21.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
261,Joel Ward,7,Crystal Palace,29,20,2.9965517241379307,4.345,0.9,1.1,20.9,0.7,1.3,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,2.3,2.7,1.5,6.3,2.8,7.3,14.8,16.9,0.8,3.9,0.9
262,Ashley Barnes,5,Burnley,29,19,2.93448275862069,4.4789473684210535,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.3,10.6,0.3,2.3,21.3,0.0,0.2,0.9,1.9,5.1,1.2,11.3,0.0,0.1,10.8,3.0,1.3,4.0,2.2,3.5,1.8
263,Joseph Gomez,10,Liverpool,29,19,2.7758620689655173,4.2368421052631575,10.0,0.0,1.6,1.2,0.7,1.4,0.5,0.3,4.3,1.4,0.8,10.5,,1.6,32.9,0.7,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8
264,Jonny Evans,9,Leicester,29,29,2.768965517241379,2.768965517241379,10.8,0.4,10.4,11.5,0.1,,0.8,0.5,0.5,3.1,0.5,0.4,4.0,1.5,0.6,1.9,2.6,0.3,12.0,0.3,2.8,0.8,0.8,11.9,0.1,0.4,0.3,0.4,0.3,0.3
265,Jay Rodriguez,5,Burnley,29,28,2.7482758620689647,2.8464285714285706,6.1,2.0,18.0,1.8,3.6,,3.3,5.3,0.0,0.9,0.3,1.4,0.0,1.5,1.2,1.1,11.6,0.3,0.3,1.6,5.3,1.8,0.6,10.3,0.8,0.0,0.5,0.1,0.0,0.0
266,Nathan Aké,3,Bournemouth,29,23,2.710344827586207,3.4173913043478263,0.1,10.3,0.0,0.3,0.2,,0.1,0.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.5,0.3,11.2,0.0,0.7,0.3,10.3,10.4,0.1,0.1,2.2,0.2,0.0,21.7
267,Morgan Schneiderlin,8,Everton,29,15,2.7068965517241375,5.2333333333333325,0.0,0.0,1.8,2.1,0.6,,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.1,4.9,12.4,0.0,0.0,0.0,13.4,2.8,2.1,2.5,0.0,5.1,0.0,13.1
268,Luke Freeman,15,Sheffield Utd,28,9,2.6821428571428574,8.344444444444445,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,14.1,20.1,13.4,6.0
269,Kieran Tierney,1,Arsenal,28,5,2.682142857142857,15.02,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,18.1,0.0,35.6,0.0,3.3,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Yerry Mina,8,Everton,29,25,2.634482758620689,3.0559999999999996,0.0,0.0,11.3,0.3,0.6,,1.0,0.3,0.0,0.3,0.1,10.2,10.8,0.0,0.0,10.4,10.1,14.0,0.3,1.0,0.0,0.3,0.4,0.7,0.8,0.5,0.3,1.8,0.1,0.8
271,Tyrone Mings,2,Aston Villa,28,23,2.6285714285714286,3.1999999999999997,0.5,,0.1,0.0,1.1,,10.7,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.3,21.0,0.8,0.0,10.2,1.2,0.3,0.3,0.3,0.5,0.8,0.0,14.4,10.0
272,Callum Robinson,15,Sheffield Utd,28,16,2.6000000000000005,4.550000000000001,0.0,,0.0,0.0,0.0,,0.0,14.7,0.0,0.0,17.0,0.0,0.0,0.0,1.5,0.0,0.5,10.6,0.0,0.0,11.1,0.0,1.7,6.1,0.3,0.1,4.0,2.0,2.3,0.9
273,Michael Obafemi,16,Southampton,29,15,2.589655172413793,5.006666666666666,0.3,3.2,0.8,1.8,0.6,,38.4,0.0,0.0,1.0,0.0,1.8,0.0,0.0,0.0,0.0,2.5,23.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4
274,Yves Bissouma,4,Brighton,29,13,2.5551724137931036,5.700000000000001,7.5,3.1,2.2,0.0,0.0,,0.0,0.0,0.0,4.0,19.3,1.2,6.8,4.0,0.0,0.0,15.9,1.0,0.0,0.0,0.0,0.0,0.4,2.3,6.4,0.0,0.0,0.0,0.0,0.0
275,Dan Gosling,3,Bournemouth,29,16,2.475862068965517,4.4875,0.0,0.1,2.3,3.3,12.3,,0.0,0.8,2.3,6.8,4.8,2.9,1.4,24.5,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Adrian Mariappa,18,Watford,29,15,2.465517241379311,4.7666666666666675,0.0,0.0,0.0,1.2,1.3,,14.7,1.8,28.9,0.0,2.5,0.6,18.9,0.3,0.0,0.0,0.0,0.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,Çaglar Söyüncü,9,Leicester,29,28,2.379310344827586,2.464285714285714,0.5,1.4,10.8,1.8,0.4,,0.8,1.4,0.3,5.9,0.0,10.7,0.0,1.3,11.0,1.1,1.8,0.3,2.3,0.7,1.0,0.9,0.4,1.3,0.6,0.4,0.3,10.6,0.5,0.5
278,Adam Lallana,10,Liverpool,29,15,2.3724137931034477,4.586666666666665,1.3,5.3,0.0,0.0,0.0,0.0,0.0,1.1,2.4,0.0,13.3,0.8,,0.0,0.0,2.1,0.0,0.0,0.0,40.8,0.0,1.3,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0
279,Fikayo Tomori,6,Chelsea,29,15,2.36551724137931,4.573333333333333,0.0,3.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.2,5.4,1.5,0.0,0.0,0.0,1.2,0.3,4.9,10.7,11.1,1.8,0.8,1.1,10.8,0.8,13.8,0.0,0.0,0.0
280,Conor Coady,20,Wolves,29,29,2.317241379310345,2.317241379310345,3.3,0.0,10.0,0.0,0.1,,0.0,0.0,0.4,14.2,10.1,6.3,0.1,0.3,0.0,0.0,0.3,0.0,10.1,0.0,0.3,0.3,0.1,0.1,0.2,0.2,10.0,0.7,0.1,0.0
281,Jannik Vestergaard,16,Southampton,29,14,2.3034482758620687,4.771428571428571,0.0,0.4,0.0,1.1,0.0,,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.3,0.0,23.1,1.9,0.8,0.7,20.8,14.2,1.3
282,Hamza Choudhury,9,Leicester,29,16,2.3034482758620687,4.175,0.0,1.2,0.0,2.8,11.0,,0.0,0.0,3.4,1.4,3.2,0.9,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2,10.3,1.8,1.6,1.8,11.7,12.4
283,Jack Stephens,16,Southampton,29,21,2.2551724137931033,3.114285714285714,0.6,0.4,0.3,1.3,0.3,,10.4,0.2,10.3,13.4,0.8,0.2,10.5,4.0,10.0,0.3,1.3,0.1,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
284,Javier Manquillo,13,Newcastle,29,13,2.2344827586206897,4.984615384615385,2.8,20.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,1.3,1.8,6.5,2.4,15.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.3,0.0,0.0,11.1
285,Simon Francis,3,Bournemouth,29,15,2.220689655172414,4.293333333333334,0.0,0.0,0.3,10.4,4.1,,0.3,10.7,12.0,2.7,0.0,0.0,0.3,0.0,0.7,1.2,0.0,1.7,19.4,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
286,Lukas Rupp,14,Norwich,29,6,2.217241379310345,10.716666666666667,0.0,10.5,1.5,11.2,23.8,,17.3,0.0,,,,,,,,,,,,,,,,,,,,,,
287,Cenk Tosun,7,Crystal Palace,29,10,2.1862068965517243,6.34,0.0,10.5,0.3,0.0,0.0,,0.7,2.8,0.3,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,13.3,24.1,0.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
288,Federico Fernández,13,Newcastle,29,23,2.179310344827586,2.747826086956522,1.2,0.1,1.2,0.1,5.8,,1.2,15.1,1.5,0.3,0.3,0.0,0.1,0.4,0.3,0.5,0.1,15.1,1.0,0.3,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Paul Dummett,13,Newcastle,29,16,2.1758620689655173,3.94375,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,37.2,1.9,1.0,0.3,0.6,0.3,0.1,0.0,0.0,0.0,0.0,5.0,12.8,0.1,1.8,0.1,1.1,0.8
290,Aaron Connolly,4,Brighton,29,17,2.1689655172413795,3.7,0.0,0.0,0.0,0.0,0.0,,0.0,10.4,0.0,0.6,0.0,1.3,1.0,0.0,0.0,0.3,1.7,0.0,1.3,5.8,0.3,10.6,23.8,0.6,4.8,0.3,0.1,,,
291,Nicolás Otamendi,11,Man City,28,19,2.1535714285714285,3.1736842105263157,1.8,,0.4,12.0,1.3,,10.3,0.0,0.6,0.0,0.0,0.4,0.9,0.5,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.4,11.1,0.4,3.6,0.9,2.4,11.1,0.0
292,Victor Lindelöf,12,Man Utd,29,26,2.1413793103448273,2.3884615384615384,0.8,0.4,1.3,0.0,11.2,,0.0,0.7,1.2,0.7,0.5,1.0,1.8,10.8,0.1,0.4,1.2,0.9,0.1,1.4,0.6,0.3,0.0,0.5,10.7,0.4,11.3,2.8,0.9,0.1
293,Ezri Konsa Ngoyo,2,Aston Villa,28,15,2.0892857142857144,3.9,0.0,,0.1,0.6,0.1,,12.8,0.7,0.3,20.6,0.7,0.4,0.0,0.0,10.1,0.1,0.1,1.3,10.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Alireza Jahanbakhsh,4,Brighton,29,8,2.086206896551724,7.5625,0.8,0.8,0.0,5.0,0.0,,12.3,0.0,2.5,31.6,5.2,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Bernardo Fernandes da Silva Junior,4,Brighton,29,10,2.020689655172414,5.86,0.0,0.0,0.0,0.0,2.8,,0.9,16.7,3.1,3.3,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.4
296,Willy Boly,20,Wolves,29,13,2.0068965517241377,4.476923076923076,0.4,0.6,0.3,0.6,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,10.8,1.2,0.0,20.8,21.8,0.3,0.3
297,José Ignacio Peleteiro Romallo,2,Aston Villa,28,8,2.0035714285714286,7.012499999999999,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,11.3,28.3,11.8,0.8
298,Nabil Bentaleb,13,Newcastle,29,3,1.9379310344827585,18.73333333333333,0.0,0.0,2.0,11.4,42.8,,,,,,,,,,,,,,,,,,,,,,,,,
299,Matej Vydra,5,Burnley,29,10,1.896551724137931,5.5,10.4,14.3,15.0,0.5,0.0,,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0
300,Jan Vertonghen,17,Spurs,29,19,1.8896551724137938,2.8842105263157904,3.0,0.0,0.4,0.0,0.0,,0.8,0.2,0.0,0.4,0.9,16.8,0.7,0.6,21.1,1.1,1.7,0.0,0.0,0.0,0.0,4.2,0.9,0.0,0.2,1.7,0.1,0.0,0.0,0.0
301,Mbwana Samatta,2,Aston Villa,28,4,1.825,12.775,1.3,,1.9,24.6,23.3,,,,,,,,,,,,,,,,,,,,,,,,,
302,Mason Holgate,8,Everton,29,22,1.8000000000000003,2.372727272727273,0.6,0.0,1.0,0.3,1.8,,0.3,10.7,0.3,3.3,0.5,1.1,1.0,1.1,0.0,1.2,0.2,4.4,10.4,0.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
303,Matthew Longstaff,13,Newcastle,29,7,1.7620689655172412,7.299999999999999,0.0,0.0,0.0,0.0,0.0,,4.1,3.1,3.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1.4,14.8,0.0,0.0,0.0,,,,
304,John Stones,11,Man City,28,12,1.7464285714285714,4.075,0.0,,0.0,1.7,0.0,,0.0,13.3,0.6,0.0,0.0,0.0,0.0,0.0,1.8,0.0,2.0,1.5,0.8,8.3,1.6,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.8
305,Pablo Zabaleta,19,West Ham,29,10,1.7413793103448276,5.05,0.0,0.0,0.0,0.6,0.0,0.0,0.4,27.1,2.3,0.0,0.0,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,3.5,13.8,0.0,0.5,0.0,0.1,0.4,0.0,0.0,0.0,0.0
306,Valentino Lazaro,13,Newcastle,29,4,1.6931034482758618,12.274999999999999,1.0,0.0,26.3,20.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
307,Andreas Christensen,6,Chelsea,29,15,1.6689655172413793,3.2266666666666666,0.0,12.3,0.2,0.4,0.2,,13.6,3.0,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,13.3,0.3,0.0,0.8,0.2,1.6
308,Christian Fuchs,9,Leicester,29,8,1.6448275862068966,5.9625,0.0,0.0,0.7,0.0,0.0,,0.0,7.2,0.0,7.3,1.3,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.1,22.1,0.0
309,Xherdan Shaqiri,10,Liverpool,29,6,1.610344827586207,7.783333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,,3.3,10.6,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.2,0.0,0.0,0.0
310,Glenn Murray,4,Brighton,29,19,1.5931034482758624,2.4315789473684215,0.0,1.3,0.3,1.4,7.8,,0.0,0.3,0.5,0.0,0.3,0.0,4.2,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.1,0.1,0.0,1.8,0.1,10.3,13.3,3.1
311,Michael Keane,8,Everton,29,22,1.5655172413793108,2.0636363636363644,0.4,13.4,0.0,0.2,0.0,,0.0,0.0,0.8,0.0,10.1,0.0,0.1,0.3,0.3,0.5,3.4,0.0,0.0,0.0,0.1,0.3,0.3,0.6,1.7,0.7,0.4,11.1,0.2,0.5
312,Antonio Rüdiger,6,Chelsea,29,13,1.562068965517241,3.484615384615384,0.2,0.0,14.1,0.4,3.3,,13.0,3.1,0.8,0.4,2.1,1.9,1.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
313,Dwight Gayle,13,Newcastle,29,12,1.5379310344827586,3.716666666666667,0.8,14.9,0.5,0.0,0.0,,0.0,0.0,25.2,0.0,1.6,0.8,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,
314,Fabian Schär,13,Newcastle,29,18,1.524137931034483,2.4555555555555557,0.0,0.0,0.7,0.0,0.0,,0.5,0.0,0.0,0.2,20.8,0.3,10.3,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.2,0.3,0.9,0.1,1.5,0.2,0.6,1.7
315,Kyle Walker-Peters,16,Southampton,29,4,1.5206896551724138,11.025,0.0,0.0,0.0,1.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.9,19.3
316,Tom Trybull,14,Norwich,29,14,1.5172413793103448,3.142857142857143,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6,2.7,1.5,2.0,0.0,1.5,11.5,1.9,3.2,1.5,0.0,1.3,0.0,0.0,0.0,0.0,1.5,0.9,13.3,0.6
317,Morgan Gibbs-White,20,Wolves,29,4,1.5,10.875,0.0,0.0,0.0,0.0,0.0,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,12.3,0.0,25.6,0.0,0.0
318,James Justin,9,Leicester,29,4,1.4896551724137932,10.8,13.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,1.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,Michy Batshuayi,6,Chelsea,29,16,1.4793103448275862,2.68125,0.0,0.3,0.0,3.6,0.0,,1.1,0.3,0.0,0.0,0.0,0.0,1.3,1.3,10.8,10.5,0.0,0.2,1.5,0.3,0.0,0.0,0.5,0.1,0.1,10.7,0.3,0.0,0.0,0.0
320,Nacho Monreal,1,Arsenal,28,3,1.457142857142857,13.6,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,24.0,15.6
321,Yan Valery,16,Southampton,29,9,1.427586206896552,4.6000000000000005,1.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,4.1,0.5,0.8,1.0,0.0,0.0,0.0,0.0,1.1,16.1,15.2
322,Ryan Sessegnon,17,Spurs,29,6,1.3758620689655174,6.650000000000001,0.0,0.0,0.0,0.0,0.0,,3.1,0.0,0.0,6.7,25.6,2.4,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,Sung-yueng Ki,13,Newcastle,29,3,1.3724137931034481,13.266666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,22.9,0.0,0.0,0.0,16.1,0.0
324,Arnaut Danjuma Groeneveld,3,Bournemouth,29,9,1.3724137931034481,4.422222222222222,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5.6,3.4,15.0,0.6,0.0,13.1,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
325,Héctor Bellerín,1,Arsenal,28,8,1.3464285714285715,4.7125,0.0,,2.8,6.8,3.3,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.8,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,Gary Cahill,7,Crystal Palace,29,20,1.3344827586206895,1.9349999999999998,0.8,0.2,0.2,0.3,0.5,,0.1,10.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.5,1.0,10.8,0.8,10.6,0.0,1.3,0.0,0.0,0.0
327,Jairo Riedewald,7,Crystal Palace,29,10,1.3241379310344827,3.84,0.0,0.2,0.0,0.0,0.0,,11.9,3.5,1.9,15.5,2.3,2.1,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
328,Steve Cook,3,Bournemouth,29,22,1.3206896551724139,1.7409090909090912,0.0,0.2,0.3,0.0,0.0,,0.0,0.0,0.7,0.7,0.5,0.8,0.0,0.0,0.0,0.0,0.2,11.0,1.1,0.1,0.3,0.7,0.3,0.0,0.0,10.3,0.2,10.7,0.1,0.1
329,Sokratis Papastathopoulos,1,Arsenal,28,19,1.3142857142857145,1.9368421052631581,5.0,,0.0,0.0,0.0,,0.0,0.0,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.2,0.0,4.4,0.0,0.4,0.3,0.8,0.7,0.3,10.5,0.2,0.2,0.3,11.4,0.4
330,Gabriel Teodoro Martinelli Silva,1,Arsenal,28,14,1.3071428571428572,2.6142857142857143,0.0,,0.0,0.0,11.5,,3.3,1.3,0.6,0.0,0.0,0.0,2.1,0.8,11.5,0.0,0.1,0.0,0.0,0.3,0.0,0.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5
331,Aaron Lennon,5,Burnley,29,16,1.303448275862069,2.3625,0.0,0.0,0.3,0.0,0.0,,0.0,0.0,0.9,0.0,0.0,0.0,0.6,0.0,0.7,14.5,11.6,0.0,0.0,0.0,0.0,2.4,0.8,0.0,1.4,1.6,2.4,0.3,0.3,0.0
332,Junior Stanislas,3,Bournemouth,29,6,1.3,6.283333333333334,1.1,0.5,1.3,1.7,0.0,,0.0,0.0,0.0,5.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Keinan Davis,2,Aston Villa,28,8,1.292857142857143,4.525,10.3,,0.0,0.0,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,10.1,0.0,0.5,11.3,0.0,0.3,0.0
334,Patrick Cutrone,20,Wolves,29,12,1.2275862068965517,2.966666666666667,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,11.3,1.5,3.3,0.1,1.3,15.7,0.0,0.0,0.0
335,Henrikh Mkhitaryan,1,Arsenal,28,3,1.2107142857142856,11.299999999999999,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.5,0.0,19.4
336,Nampalys Mendy,9,Leicester,29,5,1.2000000000000002,6.960000000000001,0.6,0.0,0.0,0.0,0.0,,16.6,2.3,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,Aymeric Laporte,11,Man City,28,7,1.2,4.8,0.0,,0.6,3.4,0.0,,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,24.3,1.7,0.9
338,Connor Wickham,7,Crystal Palace,29,6,1.1896551724137931,5.75,0.0,0.0,0.0,0.0,0.0,,10.8,0.3,0.0,12.3,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5
339,Craig Cathcart,18,Watford,29,27,1.175862068965517,1.2629629629629628,0.1,0.1,0.2,0.0,0.3,,0.0,10.2,0.0,0.0,0.4,0.0,0.0,3.0,10.3,0.1,0.1,4.4,0.3,0.1,0.7,0.1,1.1,0.8,0.0,0.0,0.3,0.3,0.9,0.3
340,Ryan Bennett,9,Leicester,29,11,1.1620689655172411,3.063636363636363,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.2,0.0,0.0,0.0,10.7,20.0,0.9,0.4
341,Bjorn Engels,2,Aston Villa,28,17,1.1392857142857145,1.8764705882352946,0.0,,0.0,10.3,15.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.5,0.3,0.4,0.3,0.7,0.9,0.3,0.6,0.0
342,Craig Dawson,18,Watford,29,20,1.1310344827586212,1.6400000000000006,0.0,0.0,14.8,0.0,0.0,,0.3,0.3,3.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.1,0.0,0.0,0.2,1.1,0.1,0.3,0.5,0.7,0.2,0.4
343,Neil Taylor,2,Aston Villa,28,10,1.1285714285714286,3.1599999999999997,0.0,,0.0,0.0,0.0,,0.0,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,1.9,3.9,2.1,0.9,16.9,1.0
344,Scott Dann,7,Crystal Palace,29,9,1.0862068965517242,3.5000000000000004,10.3,0.0,10.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
345,Jarrod Bowen,19,West Ham,29,4,1.0689655172413792,7.75,15.3,15.1,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Kurt Zouma,6,Chelsea,29,22,1.0655172413793106,1.4045454545454548,0.3,0.0,0.0,0.3,0.0,,0.0,0.0,0.0,10.3,1.5,0.3,0.3,3.2,1.8,1.1,1.9,0.4,1.3,0.8,0.7,1.7,0.3,0.0,0.3,1.5,0.3,1.7,0.3,0.6
347,Jan Bednarek,16,Southampton,29,27,1.0551724137931036,1.1333333333333333,0.2,0.5,10.3,0.0,0.1,,0.0,0.6,0.2,0.3,0.7,0.0,0.1,0.4,0.2,0.5,0.5,0.3,0.3,0.3,0.4,0.3,0.3,1.1,0.8,0.4,0.0,0.3,0.7,10.8
348,Issa Diop,19,West Ham,29,23,1.0517241379310343,1.326086956521739,10.7,0.0,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.0,0.1,0.1,1.9,0.6,0.0,1.9,0.3,0.7,0.4,1.1,0.2,11.2,0.3
