,Name,Team,Team games,Played,Creativity per fixture adj,Creativity per game adj,Creativity GW29adj,Creativity GW28adj,Creativity GW27adj,Creativity GW26adj,Creativity GW25adj,Creativity GW24adj*,Creativity GW24adj,Creativity GW23adj,Creativity GW22adj,Creativity GW21adj,Creativity GW20adj,Creativity GW19adj,Creativity GW18adj,Creativity GW17adj,Creativity GW16adj,Creativity GW15adj,Creativity GW14adj,Creativity GW13adj,Creativity GW12adj,Creativity GW11adj,Creativity GW10adj,Creativity GW9adj,Creativity GW8adj,Creativity GW7adj,Creativity GW6adj,Creativity GW5adj,Creativity GW4adj,Creativity GW3adj,Creativity GW2adj,Creativity GW1adj
11,Roberto Firmino,Liverpool,29,29,0.21295222577588074,0.21295222577588074,0.0,0.0,0.05238241946857058,0.013603599808831078,1.0647189021076067,0.05720580307567812,0.24439041892293134,0.3652754024961248,0.3317978810710565,0.0,0.0,0.14864309426074804,,0.04765965102528307,0.574567933376011,0.1304052780996486,0.0,0.0,0.058005852403378265,0.17090766261983584,0.04581025251071439,0.0,0.5690695327402003,0.6627134456643216,0.09111760439984852,0.9042517255297949,0.35628348120590014,0.0,0.0,0.2868046067140568
12,Willian Borges Da Silva,Chelsea,29,28,0.20557138091002275,0.21291321594252355,1.0771804003651397,0.0,0.0,0.08522873926319618,0.0,,0.0,0.06821594966995645,0.06567795244395451,0.048575389122812215,0.6507276218593538,0.08720136855576935,0.3427149621159629,0.4291047591847568,0.6641704371664565,0.10236974038490633,0.0,0.04551507514649245,1.0076813003264322,0.24777176433230122,0.1774569183259317,0.10531705190783325,0.7376746590715013,0.01898595714790133,0.0,0.0,0.0,0.0,0.0,
13,Jack Grealish,Aston Villa,28,26,0.20292733439074068,0.21853712934387456,0.0,,0.28687787449787805,0.9206061107004622,0.2333151710937919,,0.20071658555403094,0.3319285237866504,0.08709346194343966,0.3551987453708564,0.09638990572095103,0.1409483003488395,0.15477153126000998,0.023638349274038552,0.145305974541344,0.0293899953162064,0.02685093389431836,0.5117914268832836,,,0.0,0.3158897381091292,0.04237484929417613,0.06534899078395343,0.7173607714852445,0.5673223674075851,0.0,0.039749101419910796,0.25669133782299364,0.1324053164316446
14,Joao Filipe Iria Santos Moutinho,Wolves,29,29,0.20281598824990468,0.20281598824990468,0.0,0.4170076782901708,0.09372279043140005,0.37435380203538504,0.6398684652984684,,0.2131266665832218,0.026873632453521454,0.022891763158873632,0.07447359049952886,0.028251833316970447,0.9893112201817216,0.297597540976119,0.14121464885287355,0.08965931250236665,0.5088398008282563,0.1382622604661953,0.16969143549145502,0.056917201717678646,0.5653025357826944,0.07614728173202802,0.0,0.02197560319458927,0.0,0.41119146295455217,0.17811127381078773,0.0,0.04289815777217749,0.16043427074841857,0.14353943016778098
15,Ashley Westwood,Burnley,29,26,0.20103356878610687,0.22422974979988844,0.6148811874937229,0.04106007105696169,0.4401489562319827,0.1269486816531222,0.5408270564000828,,0.0,0.0,0.0,0.3879342051473364,0.24851329590650406,0.5366685145063167,0.10945500731189171,0.7174602770473358,,,,0.0,0.008804204436472549,0.02111322385115635,0.0,0.036368377061789386,0.21409896070105106,0.05724961045449977,0.5370948081570234,0.16684499401521874,0.541912389860417,0.447606012567732,0.02078146008684051,0.014202200849642
16,Raheem Sterling,Man City,28,24,0.1992038618466041,0.23240450548770478,0.06323891858330236,,,,0.6874518608810672,,0.0,0.0,,0.0,0.1797150139769885,0.0,0.2776194729523863,0.2012055442089719,0.3320639229061176,0.0,0.11886256539522151,0.0,0.0,0.24508967379605615,0.5641460801906035,1.090054859012666,0.1312350497438433,0.41754578706351847,,0.48206634601702725,0.5575079716215147,0.06857947777230584,0.16132558758332383,0.0
17,Lucas Digne,Everton,29,26,0.18708195630746827,0.20866833588140693,0.0,,,0.07295918960147144,0.0,,0.36962671411340625,0.5391094925861549,0.3711297462084736,0.02263494138002997,,0.16057291491837306,0.05656775096446706,0.09540816221743562,0.1288142790138904,0.09606290465276007,0.1747460905221688,0.06384913780410775,0.36389312677313884,0.5260204342620192,0.207421641016901,0.15725249499948427,0.48067989445084514,0.9546841350704798,0.015831204557493157,0.146582204031594,0.10907336436792414,0.11331289919714045,0.06367202716371959,0.1354719830431022
18,Pascal Groß,Brighton,29,23,0.18550603902616905,0.23389891877212618,,,,0.0,0.334320732961827,,0.03390972521294079,0.01552018692709905,0.2002858189460778,,,0.46381652444986393,0.0,0.5781245724366068,0.10125697553959309,0.36176081925901427,0.13959570670794036,,0.6460114876687363,0.044842201242665886,0.0,0.3967020780195444,0.156764481292826,0.567150253860097,0.3051694551658514,0.38641528386548707,0.0,0.02028441455704118,0.627744413645691,0.0
19,Enda Stevens,Sheffield Utd,28,28,0.1816641289441762,0.1816641289441762,0.03383467031344087,,0.0,0.1670175218423987,0.0,,0.8669397104287534,0.08422741424740245,0.035927127337630926,0.0,0.5277451761681904,0.05219281422720509,0.15962412878821028,0.44519862780243213,0.0,0.11578201729431896,0.18835148990946635,0.5593432232602609,0.2973885167496003,0.44420903009750806,0.043791308048198856,0.0,0.0,0.5038151550232927,0.0,0.049838121221188296,0.4989955212470043,0.0,0.012374036430430677,0.0
20,James Maddison,Leicester,29,28,0.17673187489077788,0.18304372756544854,0.15512036011570698,0.1124167186638974,0.0766649555416071,0.20481631514167137,0.5991716747138964,,0.1880753371230696,0.23855041152540096,0.08537914848318263,0.17477782391836402,0.06417017072169517,0.0,0.2606145897034674,0.31409633020223837,0.3036268599316427,0.15129746039825373,0.01876072273573529,0.4534072416625737,0.07168099809542909,0.33813953998666213,0.0,0.11850082254312545,0.0,,0.2250675415576783,0.0,0.04891902611955595,0.365136765886893,0.44154932609464337,0.11528423096616844
