,assists,goals,h_a,id,key_passes,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,fixture,round
117,0,0,a,341282,1,0,Gylfi Sigurdsson,714,AMC,12,0,341286,0,4,72,82,0.06730096787214279,0.5671876072883606,0,0.5671876072883606,0,Crystal Palace,Everton,8,7,7,8,4,1
118,0,0,a,341283,1,0,Bernard,7063,AML,13,0,0,0,0,72,90,0.05922258272767067,0,0.17980079352855682,0.2390233725309372,1,Crystal Palace,Everton,8,7,7,8,4,1
119,0,0,a,341284,1,0,Dominic Calvert-Lewin,5555,FW,15,0,341285,0,1,72,72,0.01672908291220665,0.05922258272767067,0.1407676488161087,0.19999024271965027,0,Crystal Palace,Everton,8,7,7,8,4,1
120,0,0,a,341286,0,0,Tom Davies,1042,Sub,17,0,0,341282,0,72,8,0,0,0,0,0,Crystal Palace,Everton,8,7,7,8,4,1
121,0,0,a,341287,0,0,Jean-Philippe Gbamin,4764,Sub,17,0,0,341280,0,72,45,0,0,0,0,0,Crystal Palace,Everton,8,7,7,8,4,1
122,0,0,a,341285,0,0,Moise Kean,1304,Sub,17,0,0,341284,0,72,18,0,0,0,0,0,Crystal Palace,Everton,8,7,7,8,4,1
123,0,0,h,341261,0,0,Vicente Guaita,2190,GK,1,0,0,0,0,78,90,0,0,0,0,0,Crystal Palace,Everton,7,8,7,8,4,1
124,0,0,h,341262,0,0,Joel Ward,510,DR,2,0,0,0,0,78,90,0,0,0,0,0,Crystal Palace,Everton,7,8,7,8,4,1
125,0,0,h,341263,0,0,Martin Kelly,525,DC,3,0,0,0,0,78,90,0,0,0,0,0,Crystal Palace,Everton,7,8,7,8,4,1
126,0,0,h,341264,0,0,Scott Dann,512,DC,3,0,0,0,1,78,90,0,0.06846261024475098,0,0,0,Crystal Palace,Everton,7,8,7,8,4,1
127,0,0,h,341265,0,0,Patrick van Aanholt,730,DL,4,0,0,0,0,78,90,0,0,0,0,0,Crystal Palace,Everton,7,8,7,8,4,1
128,0,0,h,341266,1,0,Andros Townsend,775,MR,8,0,0,0,0,78,90,0.0866408720612526,0,0.0866408720612526,0.0866408720612526,0,Crystal Palace,Everton,7,8,7,8,4,1
129,0,0,h,341268,1,0,James McArthur,633,MC,9,0,0,0,0,78,90,0.08144403994083405,0,0,0,0,Crystal Palace,Everton,7,8,7,8,4,1
