id,Name,web_name,Team number,Team,Team games,Played
194,Xherdan Shaqiri,Shaqiri,10,Liverpool,29,6
195,Adam Lallana,Lallana,10,Liverpool,29,15
196,Naby Keita,Keita,10,Liverpool,29,9
197,Fabio Henrique Tavares,Fabinho,10,Liverpool,29,20
198,Jordan Henderson,Henderson,10,Liverpool,29,25
199,Georginio Wijnaldum,Wijnaldum,10,Liverpool,29,28
200,James Milner,Milner,10,Liverpool,29,18
201,Rafael Camacho,Camacho,10,Liverpool,29,0
464,Rhian Brewster,Brewster,10,Liverpool,29,0
526,Adrian San Miguel del Castillo,Adrian,10,Liverpool,29,11
530,Andy Lonergan,Lonergan,10,Liverpool,29,0
531,Caoimhin Kelleher,Kelleher,10,Liverpool,29,0
550,Harvey Elliott,Elliott,10,Liverpool,29,1
569,Curtis Jones,Jones,10,Liverpool,29,2
575,Neco Williams,Williams,10,Liverpool,29,0
589,Nathaniel Phillips,Phillips,10,Liverpool,29,0
590,Takumi Minamino,Minamino,10,Liverpool,29,3
628,Ki-Jana Hoever,Hoever,10,Liverpool,29,0
202,Aymeric Laporte,Laporte,11,Man City,28,7
203,Kyle Walker,Walker,11,Man City,28,21
204,Benjamin Mendy,Mendy,11,Man City,28,14
206,Oleksandr Zinchenko,Zinchenko,11,Man City,28,12
207,John Stones,Stones,11,Man City,28,12
208,Nicolas Otamendi,Otamendi,11,Man City,28,19
209,Danilo Luiz da Silva,Danilo,11,Man City,28,0
210,Sergio Aguero,Aguero,11,Man City,28,22
211,Gabriel Fernando de Jesus,Jesus,11,Man City,28,24
212,Ederson Santana de Moraes,Ederson,11,Man City,28,25
213,Claudio Bravo,Bravo,11,Man City,28,4
214,Raheem Sterling,Sterling,11,Man City,28,24
215,Kevin De Bruyne,De Bruyne,11,Man City,28,26
216,Leroy Sane,Sane,11,Man City,28,0
217,Riyad Mahrez,Mahrez,11,Man City,28,23
218,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,11,Man City,28,24
219,David Silva,David Silva,11,Man City,28,19
220,Phil Foden,Foden,11,Man City,28,14
221,Fernando Luiz Rosa,Fernandinho,11,Man City,28,23
222,Ilkay Gundogan,Gundogan,11,Man City,28,25
440,Jose Angel Esmoris Tasende,Angelino,11,Man City,28,6
443,Rodrigo Hernandez,Rodrigo,11,Man City,28,26
518,Joao Pedro Cavaco Cancelo,Cancelo,11,Man City,28,11
544,Eric Garcia,Garcia,11,Man City,28,6
562,Scott Carson,Carson,11,Man City,28,0
122,Aaron Wan-Bissaka,Wan-Bissaka,12,Man Utd,29,26
160,Harry Maguire,Maguire,12,Man Utd,29,29
223,Chris Smalling,Smalling,12,Man Utd,29,0
224,Ashley Young,Young,12,Man Utd,29,12
225,Victor Lindelof,Lindelof,12,Man Utd,29,26
226,Luke Shaw,Shaw,12,Man Utd,29,18
227,Marcos Rojo,Rojo,12,Man Utd,29,3
228,Eric Bailly,Bailly,12,Man Utd,29,2
229,Jose Diogo Dalot Teixeira,Dalot,12,Man Utd,29,4
230,Matteo Darmian,Darmian,12,Man Utd,29,0
231,Phil Jones,Jones,12,Man Utd,29,2
232,Romelu Lukaku,Lukaku,12,Man Utd,29,0
233,Marcus Rashford,Rashford,12,Man Utd,29,22
234,Mason Greenwood,Greenwood,12,Man Utd,29,22
235,David de Gea,de Gea,12,Man Utd,29,29
236,Sergio Romero,Romero,12,Man Utd,29,0
237,Lee Grant,Grant,12,Man Utd,29,0
238,Paul Pogba,Pogba,12,Man Utd,29,7
239,Anthony Martial,Martial,12,Man Utd,29,23
240,Alexis Sanchez,Sanchez,12,Man Utd,29,0
241,Jesse Lingard,Lingard,12,Man Utd,29,20
242,Juan Mata,Mata,12,Man Utd,29,17
243,Daniel James,James,12,Man Utd,29,27
244,Frederico Rodrigues de Paula Santos,Fred,12,Man Utd,29,25
245,Angel Gomes,Gomes,12,Man Utd,29,2
246,Andreas Pereira,Pereira,12,Man Utd,29,23
247,Nemanja Matic,Matic,12,Man Utd,29,12
248,Scott McTominay,McTominay,12,Man Utd,29,20
249,Tahith Chong,Chong,12,Man Utd,29,3
250,James Garner,Garner,12,Man Utd,29,1
481,Axel Tuanzebe,Tuanzebe,12,Man Utd,29,5
549,Brandon Williams,Williams,12,Man Utd,29,12
618,Bruno Miguel Borges Fernandes,Fernandes,12,Man Utd,29,5
624,Odion Ighalo,Ighalo,12,Man Utd,29,4
251,Matt Ritchie,Ritchie,13,Newcastle,29,10
252,Fabian Schar,Schar,13,Newcastle,29,18
253,DeAndre Yedlin,Yedlin,13,Newcastle,29,12
254,Federico Fernandez,Fernandez,13,Newcastle,29,23
255,Paul Dummett,Dummett,13,Newcastle,29,16
256,Javier Manquillo,Manquillo,13,Newcastle,29,13
257,Florian Lejeune,Lejeune,13,Newcastle,29,6
258,Jamaal Lascelles,Lascelles,13,Newcastle,29,19
259,Ciaran Clark,Clark,13,Newcastle,29,14
260,Yoshinori Muto,Muto,13,Newcastle,29,7
261,Jose Luis Mato Sanmartin,Joselu,13,Newcastle,29,0
262,Martin Dubravka,Dubravka,13,Newcastle,29,29
263,Karl Darlow,Darlow,13,Newcastle,29,0
264,Frederick Woodman,Woodman,13,Newcastle,29,0
266,Miguel Almiron,Almiron,13,Newcastle,29,28
267,Christian Atsu,Atsu,13,Newcastle,29,18
268,Sung-yueng Ki,Ki Sung-yueng,13,Newcastle,29,3
269,Jonjo Shelvey,Shelvey,13,Newcastle,29,17
270,Sean Longstaff,Longstaff,13,Newcastle,29,21
271,Isaac Hayden,Hayden,13,Newcastle,29,24
332,Danny Rose,Rose,13,Newcastle,29,17
466,Joelinton Cassio Apolinario de Lira,Joelinton,13,Newcastle,29,29
482,Jack Colback,Colback,13,Newcastle,29,0
483,Jacob Murphy,Murphy,13,Newcastle,29,0
498,Jetro Willems,Willems,13,Newcastle,29,19
499,Rolando Aarons,Aarons,13,Newcastle,29,0
500,Allan Saint-Maximin,Saint-Maximin,13,Newcastle,29,18
519,Emil Krafth,Krafth,13,Newcastle,29,11
520,Andy Carroll,Carroll,13,Newcastle,29,13
540,Matthew Longstaff,Matthew Longstaff,13,Newcastle,29,7
554,Dwight Gayle,Gayle,13,Newcastle,29,12
573,Robert Elliot,Elliot,13,Newcastle,29,0
598,Thomas Allan,Allan,13,Newcastle,29,0
599,Kelland Watts,Watts,13,Newcastle,29,0
610,Liam Gibson,Gibson,13,Newcastle,29,0
612,Nabil Bentaleb,Bentaleb,13,Newcastle,29,3
614,Valentino Lazaro,Lazaro,13,Newcastle,29,4
272,Timm Klose,Klose,14,Norwich,29,0
273,Ben Godfrey,Godfrey,14,Norwich,29,21
274,Maximillian Aarons,Aarons,14,Norwich,29,27
275,Christoph Zimmermann,Zimmermann,14,Norwich,29,15
276,Jamal Lewis,Lewis,14,Norwich,29,19
277,Grant Hanley,Hanley,14,Norwich,29,15
278,Teemu Pukki,Pukki,14,Norwich,29,28
279,Dennis Srbeny,Srbeny,14,Norwich,29,8
280,Tim Krul,Krul,14,Norwich,29,27
281,Michael McGovern,McGovern,14,Norwich,29,2
282,Mario Vrancic,Vrancic,14,Norwich,29,12
283,Emiliano Buendia,Buendia,14,Norwich,29,28
284,Onel Hernandez,Hernandez,14,Norwich,29,17
285,Marco Stiepermann,Stiepermann,14,Norwich,29,19
286,Kenny McLean,McLean,14,Norwich,29,28
287,Todd Cantwell,Cantwell,14,Norwich,29,29
288,Moritz Leitner,Leitner,14,Norwich,29,9
289,Alexander Tettey,Tettey,14,Norwich,29,23
290,Tom Trybull,Trybull,14,Norwich,29,14
434,Josip Drmic,Drmic,14,Norwich,29,14
435,Patrick Roberts,Roberts,14,Norwich,29,3
449,Ralf Fahrmann,Fahrmann,14,Norwich,29,1
454,Sam Byram,Byram,14,Norwich,29,17
484,Philip Heise,Heise,14,Norwich,29,0
507,Ibrahim Amadou,Amadou,14,Norwich,29,11
538,Adam Idah,Idah,14,Norwich,29,3
551,Archie Mair,Mair,14,Norwich,29,0
552,Akin Famewo,Famewo,14,Norwich,29,0
601,Ondrej Duda,Duda,14,Norwich,29,7
602,Lukas Rupp,Rupp,14,Norwich,29,6
70,Lys Mousset,Mousset,15,Sheffield Utd,28,23
291,Enda Stevens,Stevens,15,Sheffield Utd,28,28
292,Kieron Freeman,Freeman,15,Sheffield Utd,28,0
293,Jack O'Connell,O'Connell,15,Sheffield Utd,28,28
294,George Baldock,Baldock,15,Sheffield Utd,28,28
295,John Egan,Egan,15,Sheffield Utd,28,27
296,Richard Stearman,Stearman,15,Sheffield Utd,28,0
297,John Lundstram,Lundstram,15,Sheffield Utd,28,27
298,Billy Sharp,Sharp,15,Sheffield Utd,28,18
299,Jake Eastwood,Eastwood,15,Sheffield Utd,28,0
