,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards,id,gameweek,fixture,team,teamAgainst,side
128,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,205,1,4,8,7,away
129,0,0,26,1,25.0,0,0,4.4,False,17.8,90,0,0,0,0,0,1.0,6,0,206,1,8,11,19,away
130,0,0,33,1,0.8,0,0,2.0,False,18.8,90,0,0,0,0,0,0.0,6,0,207,1,8,11,19,away
131,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,208,1,8,11,19,away
132,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,209,1,8,11,19,away
133,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,223,1,9,12,6,home
134,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,224,1,9,12,6,home
135,0,0,24,1,0.1,0,0,1.9,False,19.0,90,0,0,0,0,0,0.0,5,1,225,1,9,12,6,home
136,0,0,27,1,3.0,0,0,2.1,False,16.0,90,0,0,0,0,0,2.0,6,0,226,1,9,12,6,home
137,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,227,1,9,12,6,home
138,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,228,1,9,12,6,home
139,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,229,1,9,12,6,home
140,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,230,1,9,12,6,home
141,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,231,1,9,12,6,home
142,0,0,14,0,32.5,1,0,4.4,False,11.6,90,0,0,0,0,0,0.0,2,0,251,1,10,13,1,home
143,0,0,12,0,1.7,1,0,3.0,False,23.4,90,0,0,0,0,0,5.0,2,0,252,1,10,13,1,home
144,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,253,1,10,13,1,home
145,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,254,1,10,13,1,home
