,a,datetime,forecast,goals,h,id,isResult,xG
64,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-09-28 14:00:00,"{'w': '0.6247', 'd': '0.2012', 'l': '0.1741'}","{'h': '2', 'a': '2'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11707,True,"{'h': '2.31957', 'a': '1.29546'}"
65,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-09-28 14:00:00,"{'w': '0.9712', 'd': '0.0225', 'l': '0.0063'}","{'h': '2', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11708,True,"{'h': '4.26443', 'a': '0.616263'}"
66,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-09-28 14:00:00,"{'w': '0.6775', 'd': '0.2208', 'l': '0.1017'}","{'h': '2', 'a': '0'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11709,True,"{'h': '1.80497', 'a': '0.712129'}"
67,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-09-28 16:30:00,"{'w': '0.2424', 'd': '0.2121', 'l': '0.5455'}","{'h': '1', 'a': '3'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11711,True,"{'h': '2.35854', 'a': '3.1082'}"
68,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-09-29 15:30:00,"{'w': '0.8912', 'd': '0.1032', 'l': '0.0056'}","{'h': '5', 'a': '0'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11710,True,"{'h': '1.82438', 'a': '0.054134'}"
69,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-09-30 19:00:00,"{'w': '0.2214', 'd': '0.2554', 'l': '0.5232'}","{'h': '1', 'a': '1'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11712,True,"{'h': '1.1335', 'a': '1.70399'}"
70,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-10-05 12:30:00,"{'w': '0.9194', 'd': '0.067', 'l': '0.0136'}","{'h': '3', 'a': '0'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11713,True,"{'h': '2.60017', 'a': '0.478504'}"
71,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-10-05 15:00:00,"{'w': '0.1354', 'd': '0.2707', 'l': '0.5939'}","{'h': '1', 'a': '0'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11714,True,"{'h': '0.558912', 'a': '1.30723'}"
72,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-10-05 15:00:00,"{'w': '0.9902', 'd': '0.009', 'l': '0.0008'}","{'h': '2', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11715,True,"{'h': '3.74867', 'a': '0.0982107'}"
73,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-10-05 15:00:00,"{'w': '0.0918', 'd': '0.1263', 'l': '0.7819'}","{'h': '1', 'a': '5'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11717,True,"{'h': '1.84838', 'a': '3.67827'}"
